iter	Passed	Remaining
401	17481	26004
402	17522	25958
403	17561	25907
404	17601	25859
405	17642	25811
406	17683	25764
407	17724	25717
408	17764	25669
409	17808	25626
410	17861	25597
411	17911	25562
412	17951	25515
413	17995	25472
414	18034	25422
415	18072	25370
416	18108	25317
417	18153	25276
418	18193	25228
419	18237	25185
420	18275	25134
421	18318	25089
422	18359	25043
423	18401	24998
424	18442	24951
425	18485	24907
426	18526	24860
427	18570	24818
428	18607	24766
429	18650	24722
430	18688	24672
431	18731	24628
432	18767	24574
433	18806	24526
434	18848	24481
435	18893	24440
436	18934	24393
437	18984	24358
438	19025	24313
439	19069	24269
440	19112	24227
441	19153	24179
442	19192	24131
443	19233	24085
444	19273	24037
445	19311	23988
446	19350	23939
447	19394	23896
448	19436	23851
449	19480	23810
450	19527	23770
451	19574	23731
452	19610	23680
453	19652	23635
454	19696	23593
455	19738	23547
456	19779	23501
457	19820	23455
458	19861	23409
459	19902	23363
460	19940	23314
461	19982	23269
462	20022	23222
463	20062	23175
464	20105	23131
465	20151	23091
466	20197	23051
467	20240	23008
468	20283	22964
469	20318	22912
470	20357	22864
471	20398	22818
472	20440	22774
473	20484	22731
474	20527	22688
475	20567	22641
476	20611	22598
477	20651	22552
478	20691	22505
479	20732	22460
480	20770	22411
481	20809	22363
482	20847	22315
483	20886	22267
484	20926	22220
485	20967	22175
486	21009	22131
487	21048	22083
488	21087	22036
489	21127	21990
490	21168	21944
491	21210	21900
492	21260	21864
493	21303	21820
494	21346	21777
495	21386	21731
496	21428	21687
497	21474	21646
498	21513	21599
499	21554	21554
500	21596	21510
501	21635	21463
502	21677	21419
503	21714	21369
504	21754	21323
505	21793	21276
506	21837	21234
507	21880	21190
508	21921	21146
509	21960	21099
510	22000	21052
511	22041	21008
512	22082	20962
513	22122	20916
514	22162	20871
515	22202	20825
516	22244	20781
517	22284	20735
518	22325	20690
519	22364	20644
520	22406	20600
521	22452	20559
522	22499	20520
523	22542	20477
524	22577	20427
525	22617	20381
526	22662	20340
527	22704	20296
528	22745	20251
529	22785	20206
530	22825	20160
531	22865	20114
532	22901	20065
533	22941	20019
534	22980	19973
535	23023	19930
536	23066	19887
537	23113	19848
538	23155	19804
539	23193	19757
540	23233	19712
541	23274	19667
542	23313	19621
543	23353	19575
544	23393	19530
545	23431	19483
546	23467	19434
547	23506	19388
548	23556	19351
549	23604	19312
550	23651	19272
551	23698	19233
552	23739	19188
553	23777	19142
554	23817	19096
555	23857	19052
556	23899	19008
557	23942	18964
558	23980	18918
559	24022	18875
560	24062	18829
561	24103	18785
562	24142	18739
563	24182	18694
564	24224	18650
565	24262	18604
566	24301	18558
567	24346	18516
568	24386	18472
569	24423	18424
570	24467	18383
571	24507	18338
572	24551	18296
573	24589	18249
574	24629	18204
575	24668	18158
576	24712	18116
577	24756	18074
578	24799	18032
579	24843	17989
580	24881	17944
581	24922	17899
582	24966	17857
583	25006	17812
584	25045	17767
585	25092	17727
586	25134	17684
587	25175	17639
588	25214	17594
589	25255	17550
590	25298	17507
591	25337	17462
592	25379	17418
593	25420	17374
594	25462	17331
595	25502	17287
596	25542	17242
597	25582	17197
598	25623	17153
599	25657	17105
600	25699	17062
601	25740	17018
602	25778	16972
603	25819	16927
604	25864	16886
605	25912	16847
606	25961	16808
607	26004	16765
608	26048	16723
609	26091	16681
610	26130	16636
611	26172	16593
612	26211	16547
613	26253	16504
614	26297	16462
615	26330	16414
616	26369	16368
617	26409	16324
618	26448	16278
619	26493	16237
620	26535	16195
621	26575	16150
622	26618	16107
623	26658	16063
624	26698	16018
625	26739	15975
626	26782	15932
627	26825	15890
628	26869	15848
629	26911	15805
630	26946	15758
631	26982	15711
632	27023	15667
633	27068	15626
634	27108	15582
635	27156	15542
636	27205	15503
637	27259	15467
638	27297	15421
639	27335	15376
640	27371	15329
641	27411	15285
642	27449	15240
643	27494	15198
644	27533	15154
645	27574	15110
646	27613	15065
647	27655	15022
648	27691	14976
649	27729	14931
650	27771	14888
651	27814	14845
652	27854	14801
653	27894	14757
654	27933	14713
655	27970	14667
656	28011	14623
657	28051	14580
658	28095	14538
659	28138	14495
660	28186	14455
661	28230	14413
662	28272	14370
663	28314	14327
664	28355	14284
665	28394	14239
666	28432	14195
667	28474	14151
668	28513	14107
669	28554	14064
670	28592	14019
671	28632	13975
672	28674	13932
673	28716	13889
674	28753	13844
675	28799	13803
676	28843	13761
677	28886	13718
678	28926	13674
679	28961	13629
680	29000	13584
681	29040	13540
682	29079	13496
683	29122	13454
684	29160	13409
685	29197	13364
686	29240	13322
687	29289	13282
688	29330	13239
689	29369	13195
690	29417	13154
691	29463	13113
692	29501	13069
693	29543	13026
694	29583	12982
695	29625	12939
696	29660	12894
697	29699	12849
698	29737	12805
699	29774	12760
700	29812	12715
701	29853	12673
702	29898	12631
703	29939	12588
704	29976	12543
705	30016	12499
706	30056	12456
707	30093	12411
708	30133	12367
709	30170	12323
710	30213	12281
711	30254	12237
712	30294	12194
713	30337	12151
714	30375	12107
715	30415	12064
716	30455	12020
717	30502	11980
718	30549	11939
719	30593	11897
720	30640	11856
721	30681	11813
722	30718	11769
723	30756	11725
724	30799	11682
725	30838	11638
726	30879	11595
727	30923	11553
728	30965	11511
729	31005	11467
730	31052	11426
731	31093	11383
732	31133	11340
733	31170	11296
734	31211	11253
735	31253	11210
736	31296	11168
737	31337	11125
738	31374	11080
739	31416	11038
740	31454	10994
741	31494	10951
742	31538	10908
743	31578	10865
744	31614	10820
745	31657	10778
746	31702	10737
747	31747	10695
748	31789	10653
749	31831	10610
750	31871	10567
751	31909	10523
752	31947	10479
753	31990	10437
754	32030	10393
755	32071	10351
756	32111	10307
757	32150	10264
758	32191	10221
759	32237	10180
760	32280	10137
761	32321	10095
762	32365	10053
763	32411	10011
764	32453	9969
765	32497	9927
766	32540	9885
767	32587	9844
768	32630	9801
769	32675	9760
770	32715	9717
771	32759	9675
772	32807	9634
773	32850	9591
774	32898	9551
775	32950	9511
776	32994	9469
777	33035	9426
778	33075	9383
779	33113	9339
780	33159	9298
781	33202	9256
782	33240	9212
783	33283	9170
784	33326	9127
785	33366	9084
786	33403	9040
787	33444	8997
788	33491	8956
789	33529	8912
790	33570	8870
791	33612	8827
792	33654	8784
793	33696	8742
794	33733	8698
795	33772	8655
796	33811	8611
797	33848	8568
798	33893	8526
799	33943	8485
800	33988	8444
801	34038	8403
802	34087	8362
803	34142	8323
804	34188	8281
805	34234	8240
806	34279	8198
807	34323	8156
808	34370	8114
809	34411	8071
810	34462	8031
811	34503	7988
812	34545	7945
813	34582	7902
814	34625	7859
815	34668	7817
816	34709	7774
817	34748	7731
818	34787	7688
819	34830	7645
820	34867	7602
821	34903	7558
822	34945	7515
823	34982	7471
824	35022	7429
825	35060	7385
826	35102	7343
827	35149	7301
828	35196	7260
829	35246	7219
830	35295	7178
831	35344	7136
832	35399	7096
833	35440	7054
834	35477	7010
835	35516	6967
836	35555	6924
837	35594	6881
838	35638	6838
839	35677	6795
840	35714	6752
841	35753	6709
842	35792	6665
843	35835	6623
844	35878	6581
845	35916	6537
846	35953	6494
847	35996	6452
848	36056	6412
849	36103	6371
850	36142	6328
851	36184	6285
852	36223	6242
853	36262	6199
854	36308	6157
